Shop,Listing,Units sold,Price (MYR),Price (USD),Listing (Cleaned),Units Sold (Numeric)
MarshearBeauty,Skin1004 Centella Tone Brightening Capsule Ampoule 30ml/100ml,10k+ sold,30.94,7.34,skin1004 centella tone brightening capsule ampoule 30ml100ml,10000
MarshearBeauty,Medipeel Melanon X Cream 30ml,20k+ sold,53.90,12.78,medipeel melanon x cream 30ml,20000
MarshearBeauty,3W Clinic Intensive UV Sun Cream / Collagen Sunscreen / Natural Vita Moist / BB Sun Cream SPF50+ PA++ 70ml,300k+ sold,1.00,0.24,3w clinic intensive uv sun cream collagen sunscreen natural vita moist bb sun cream spf50 pa 70ml,300000
MarshearBeauty,Axis-Y Dark Spot Correcting Glow Serum 5ml / 50ml,300k+ sold,9.49,2.25,axisy dark spot correcting glow serum 5ml 50ml,300000
MarshearBeauty,Always Be Pure Forest Therapy Ultra Calming Cream 80ml / 30ml,60k+ sold,1.00,0.24,always be pure forest therapy ultra calming cream 80ml 30ml,60000
MarshearBeauty,ANJO Professional 365 Sun Cream SPF50+ PA+++ 70g,100k+ sold,1.00,0.24,anjo professional 365 sun cream spf50 pa 70g,100000
MarshearBeauty,Dr Althea 345 Relief Cream 50ml,10k+ sold,89.00,21.11,dr althea 345 relief cream 50ml,10000
MarshearBeauty,Skin1004 Madagascar Centella Hyalu Cica Water Fit Sun Serum SPF50+ PA++++ 15ml/50ml,6k+ sold,31.91,7.57,skin1004 madagascar centella hyalu cica water fit sun serum spf50 pa 15ml50ml,6000
MarshearBeauty,Beauty of Joseon Relief Sun : Rice + Probiotics 10ml / 50ml /Matte Sun Stick 18g/ Ginseng Moist Sun Serum SPF50+ PA++++,80k+ sold,8.00,1.90,beauty of joseon relief sun rice probiotics 10ml 50ml matte sun stick 18g ginseng moist sun serum spf50 pa,80000
MarshearBeauty,Innisfree Green Tea Hydrating Amino Cleansing Foam 150g (2023 NEW),10k+ sold,15.00,3.56,innisfree green tea hydrating amino cleansing foam 150g 2023 new,10000
